Name,Card type,Cost,Upgraded cost,Map,Description,Upgraded description
Bombard,Ranged,1 ammo,1 ammo,Pirates Bay,"Deals 7 damage, 50% chance for critical hit.","Deals 10 damage, 50% chance for critical hit."
Coin Cannon,Ranged,1 ammo,1 ammo,Heroes,Deals 6 damage + additional damage based on amount of Coins you have.,Deals 8 damage + additional damage based on amount of Coins you have.
Auto Cannon,Ranged,2 ammo,2 ammo,Pirates Bay,Deals 9 damage and reload 1.,Deals 12 damage and reload 1.
Spray,Ranged,3 ammo,3 ammo,Pirates Bay,Deals 15 damage to all enemies.,Deals 18 damage to all enemies.
Two Birds with One,Ranged,2 ammo,2 ammo,Pirates Bay,Deals 9 damage to the target and the enemy behind target.,Deals 13 damage to the target and the enemy behind target.
Quick Shot,Ranged,1 ammo,1 ammo,Pirates Bay,Deals 6 damage. Draw a card.,Deals 8 damage. Draw a card.
Chain Shot,Ranged,3 ammo,3 ammo,Pirates Bay,Deals 4 damage 5 times.,Deals 6 damage 5 times.
Smoke Bomb,Ranged,1 ammo,1 ammo,Pirates Bay,Deals 6 damage and applies Blind x1.,Deals 8 damage and applies Blind x2.
Throw Shield,Ranged,1 ammo,1 ammo,Pirates Bay,Deals damage equal to your armor and lose 5 armor.,Deals damage equal to your armor.
Assault,Ranged,1 ammo,1 ammo,Pirates Bay,"Deals 7 damage, critical hit on enemies with full HP.","Deals 10 damage, critical hit on enemies with full HP."
Suppressing Fier,Ranged,1 ammo,1 ammo,Pirates Bay,Deals 7 damage and knocks back the target.,Deals 10 damage and knocks back the target.
Secret Weapon,Ranged,3 ammo,3 ammo,Pirates Bay,Deals 25 damage. Stay.,Deals 30 damage. Stay.
Powder Barrel,Ranged,2 ammo,2 ammo,Pirates Bay,Deals 10 damage to target and 5 damage to adjacent enemies.,Deals 14 damage to target and 7 damage to adjacent enemies.
Find Weakness,Ranged,1 ammo,1 ammo,Pirates Bay,Deals 8 damage. Critical hit to Injured enemies.,Deals 12 damage. Critical hit to Injured enemies.
Piercing Shot,Ranged,1 ammo,1 ammo,Pirates Bay,Deals 8 damage. Penetration.,Deals 12 damage. Penetration.
Bomb Fiesta,Ranged,2 ammo,2 ammo,Pirates Bay,Deals 5 damage to a random enemy 3 times.,Deals 7 damage to a random enemy 3 times.
Blast,Ranged,3 ammo,3 ammo,Pirates Bay,Deals 24 damage.,Deals 30 damage.
Throw Bomb,Ranged,1 ammo,1 ammo,Pirates Bay,Deals 7 damage. Draw 2 cards if target is Injured.,Deals 10 damage. Draw 2 cards if target is Injured.
Cleansing Shot,Ranged,1 ammo,1 ammo,Pirates Bay,Deals 8 damage. Remove 1 Curse from your hand.,Deals 10 damage. Remove 2 Curses from your hand.
Fire at Will,Ranged,3 ammo,3 ammo,Pirates Bay,Deals 4 damage to a random enemy 7 times.,Deals 5 damage to a random enemy 7 times.
Empty the Barrels,Ranged,X ammo,X ammo,Pirates Bay,Spends all ammo to deal 7 damage X times.,Spends all ammo to deal 10 damage X times.
Tactical Shot,Ranged,1 ammo,1 ammo,Pirates Bay,"Deals 7 damage. If an enemy is killed this way, reload to max.","Deals 10 damage. If an enemy is killed this way, reload to max."
Lethal Shot,Ranged,1 ammo,1 ammo,Pirates Bay,Deals 6 damage. Automatic kill on enemies with less than 12 HP.,Deals 9 damage. Automatic kill on enemies with less than 18 HP.
Explosive Shot,Ranged,1 ammo,1 ammo,Pirates Bay,"Deals 7 damage. If this deals a critical hit, reload 2.","Deals 10 damage. If this deals a critical hit, reload 2."
Bide Time,Ranged,1 ammo,1 ammo,Pirates Bay,"Deals 4 damage. If this card is in your hand, each other card you use this turn increases this card's damage by 2.","Deals 5 damage. If this card is in your hand, each other card you use this turn increases this card's damage by 3."
Arrow to Knee,Ranged,1 ammo,1 ammo,Pirates Bay,"Deals 7 damage. If target attempts to attack this turn, applies Weakened x2.","Deals 9 damage. If target attempts to attack this turn, applies Weakened x3."
Seeking Shot,Ranged,1 ammo,1 ammo,Pirates Bay,"Deals 7 damage. If this deals a critical hit, return it to your hand.","Deals 10 damage. If this deals a critical hit, return it to your hand."
Puffer Fish,Ranged,1 ammo,1 ammo,Pirates Bay,"You lose 3 HP. Deals 9 damage, then return this to your hand. Stay.","You lose 3 HP. Deals 12 damage, then return this to your hand. Stay."
Smite,Ranged,1 ammo,1 ammo,Pirates Bay,Deals 12 damage. Removed.,Deals 16 damage. Removed.
Shrapnel Bomb,Ranged,2 ammo,2 ammo,Pirates Bay,Deals 5 damage and applies Injury x2 to all enemies.,Deals 7 damage and applies Injury x3 to all enemies.
Feint Attack,Ranged,1 ammo,1 ammo,Pirates Bay,Deals 6 damage to all enemies.,Deals 8 damage to all enemies.
Booster Shot,Ranged,1 ammo,1 ammo,Pirates Bay,Deals 5 damage and increases damage of all Boosters by 2 this battle.,Deals 7 damage and increases damage of all Boosters by 3 this battle.
Triple Shot,Ranged,1 ammo,1 ammo,Pirates Bay,Deals 3 damage 3 times.,Deals 4 damage 3 times.
Piranha,Ranged,1 ammo,1 ammo,Pirates Bay,Deals 15 damage. Take 10 damage if this card is in your hand at end of turn.,Deals 18 damage. Take 10 damage if this card is in your hand at end of turn.
Avalanche,Ranged,1 ammo,1 ammo,Pirates Bay,Deals 10 damage to all enemies. Take 10 damage if this card is in your hand at end of turn.,Deals 13 damage to all enemies. Take 10 damage if this card is in your hand at end of turn.
Slingshot,Ranged,1 ammo,1 ammo,Heroes,"Deals 4-9 damage, fixed when add to hand.","Deals 6-12 damage, fixed when add to hand."
The Chariot,Ranged,1 ammo,1 ammo,Heroes,Deals 6 damage. Add 1 The Reversed Chariot to discard pile. Removed.,Deals 9 damage. Add 1 upgraded The Reversed Chariot to discard pile. Removed.
The Reversed Chariot,Ranged,1 ammo,1 ammo,Heroes,Deals 12 damage. Add 1 The Chariot to discard pile. Removed.,Deals 15 damage. Add 1 upgraded The Chariot to discard pile. Removed.
Crossbow,Ranged,1 ammo,1 ammo,Heroes,Deals 6 damage and applies Injury x1.,Deals 8 damage. Apply 2 Injury.
Specter Shot,Ranged,1 ammo,1 ammo,Heroes,Deals 6 damage. Deals 10 damage when you are Ignited.,Deals 9 damage. Deals 13 damage when you are Ignited.
Specter Shocks,Ranged,2 ammo,2 ammo,Heroes,Deals 4 damage 3 times. Deals 4 damage 5 times when you are Ignited.,Deals 6 damage 3 times. Deals 6 damage 5 times when you are Ignited.
Crow Blast,Ranged,1 ammo,1 ammo,Heroes,Deals 6 damage. Deals 12 damage instead if you have no armor.,Deals 9 damage. Deals 15 damage instead if you have no armor.
Peck,Ranged,1 ammo,1 ammo,Heroes,Deals 1 damage 3 times to random enemy. Increase 1 damage if hit.,Deals 1 damage 4 times to random enemy. Increase 1 damage if hit.
Instant Order,Ranged,2 ammo,2 ammo,Heroes,Deals 4 damage 3 times to random enemies. Deals 4 damage 5 times to random enemies when you are in status Issue Order. (Gunner),Deals 6 damage 3 times to random enemies. Deals 6 damage 5 times to random enemies when you are in status Issue Order. (Gunner)
Explosive Barrel,Ranged,1 ammo,1 ammo,Packages,Deals 9 damage to a random enemy.,Deals 13 damage to a random enemy.
Detonate,Ranged,2 ammo,2 ammo,Packages,Deals 12 damage. Deals critical hit if you are in Rage.,Deals 16 damage. Deals critical hit if you are in Rage.
Spike Ball,Ranged,1 ammo,1 ammo,Packages,Deals 2 damage and applies 2 Injury to a random enemy 3 times.,Deals 2 damage and applies 2 Injury to a random enemy 4 times.
Discharge,Ranged,2 ammo,2 ammo,Packages,Deals 6 damage 2 times. 2 additional attacks if you are Drunk.,Deals 8 damage 2 times. 2 additional attacks if you are Drunk.
Multi-Shot,Ranged,2 ammo,2 ammo,Packages,"Deals 4 damage to a random enemy 4 times. If an enemy is killed this way, reduce ammo cost by 1 this battle.","Deals 4 damage to a random enemy 5 times. If an enemy is killed this way, reduce ammo cost by 1 this battle."
Firecrackers,Ranged,1 ammo,1 ammo,Packages,Deals 2 damage to a random enemy 4 times. Apply 1 Blind to enemy who is attack at least 2 times.,Deals 3 damage to a random enemy 4 times. Apply 1 Blind to enemy who is attack at least 2 times.
Ammo,Skill,NA,NA,Heroes,Reload 1.,Reload 2.
Wooden Shield,Skill,1 ammo,1 ammo,Heroes,Gain 6 armor.,Gain 9 armor.
Issue Order,Skill,1 ammo,1 ammo,Heroes,Next ranged attack card deals critical hit.,Next two ranged attack cards deal critical hits.
Agility,Skill,1 ammo,1 ammo,Heroes,Gain Dodge x1.,Gain Dodge x2.
Unstable Alchemy,Skill,1 ammo,1 ammo,Heroes,Fuses 2 cards. Attack damage increases by 2 this turn.,Fuses 2 cards. Attack damage increases by 3 this turn.
Catalyst,Skill,NA,NA,Heroes,Draw a card and reload 1. Universal material.,Draw a card and reload 2. Universal material.
Sketch,Skill,1 ammo,NA,Heroes,Copy a card in hand. Removed.,Copy a card in hand. Removed.
Wave of Coins,Skill,1 ammo,1 ammo,Heroes,Deals 6 damage + additional damage based on amount of Coins you have.,Deals 8 damage + additional damage based on amount of Coins you have.
Golden Shield,Skill,1 ammo,1 ammo,Heroes,Gain 5 armor + additional armor based on amount of Coins you have.,Gain 7 armor + additional armor based on amount of Coins you have.
Berserkergang,Skill,2 ammo,2 ammo,Heroes,Next attack card gains 100% Lifesteal. Removed.,Next attack card gains 100% Lifesteal.
Reserve Supplies,Skill,NA,NA,Pirates Bay,Unplayable. Reload 2 when discarded by other cards or relics.,Unplayable. Reload 3 when discarded by other cards or relics.
Ammo Barrel,Skill,NA,NA,Pirates Bay,Discard a card from your hand and reload 2.,Discard a card from your hand and reload 3.
Makeshift Ammo,Skill,NA,NA,Pirates Bay,"Reload 2, then lose all ammo at start of next turn.","Reload 3, then lose all ammo at start of next turn."
Totally Drunk,Skill,NA,NA,Pirates Bay,Reload 1 and gain Drunk x2.,Reload 1 and gain Drunk x3.
Greed,Skill,-5 health,-5 health,Pirates Bay,"Lose 5 HP, draw 2 cards and reload 2. Removed.","Lose 5 HP, draw 3 cards and reload 3. Removed."
Tainted Ammo,Skill,-3 health,-3 health,Pirates Bay,Lose 3 HP and reload 2.,Lose 3 HP and reload 3.
Bard Skills,Skill,NA,NA,Pirates Bay,Reload 1 and upgrade a random card in hand.,Reload 1 and upgrade a card in hand.
Shield Wall,Skill,3 ammo,3 ammo,Pirates Bay,Gain 20 armor.,Gain 25 armor.
Iron Shield,Skill,2 ammo,2 ammo,Pirates Bay,Gain 13 armor.,Gain 17 armor.
Barricade,Skill,1 ammo,1 ammo,Pirates Bay,Discard a card from your hand and gain 9 armor.,Discard a card from your hand and gain 13 armor.
Hardened Shield,Skill,1 ammo,1 ammo,Pirates Bay,Applies Weakened x1 and gain 5 armor.,Applies Weakened x2 and gain 7 armor.
Fortify,Skill,1 ammo,NA,Pirates Bay,Gain armor equal to number of cards in discard pile. Removed.,Gain armor equal to number of cards in discard pile. Removed.
Defensive Stance,Skill,1 ammo,NA,Pirates Bay,Gain armor equal to number of cards in draw pile. Removed.,Gain armor equal to number of cards in draw pile. Removed.
Coconut Tree,Skill,1 ammo,1 ammo,Pirates Bay,"Gain 10 armor, then lose all armor at start of next turn.","Gain 14 armor, then lose all armor at start of next turn."
Extra Supplies,Skill,NA,NA,Pirates Bay,Reload 3. Removed.,Reload to max. Removed.
Reopen Wound,Skill,1 ammo,1 ammo,Pirates Bay,Doubles target's Injury. Removed.,Doubles target's Injury.
Extinguish,Skill,NA,NA,Pirates Bay,Reduces an enemy's attack damage by 5 for 1 turn.,Reduces all enemy's attack damage by 5 for 1 turn.
Unbalance,Skill,NA,NA,Pirates Bay,Knocks back an enemy and applies Weakened x1.,Knocks back an enemy and applies Weakened x2.
Gamble,Skill,NA,NA,Pirates Bay,"Discard your hand, then draw that many cards. Removed.","Discard your hand, then draw that many cards."
Blind,Skill,NA,NA,Pirates Bay,Applies Blind x1.,Applies Blind x2.
Toast,Skill,NA,NA,Pirates Bay,Applies Drunk x3 and heal 3,Applies Drunk x3 and heal 6
Brutal Spell,Skill,1 ammo,1 ammo,Pirates Bay,Discard your hand and applies Injury x4 for each card discarded this way.,Discard your hand and apply Injury x6 for each card discarded this way.
Carnival,Skill,NA,NA,Pirates Bay,Applies Drunk x2 to all characters.,Applies Drunk x3 to all characters.
Break Weapon,Skill,1 ammo,1 ammo,Pirates Bay,Applies Weakened x2.,Applies Weakened x3.
Tactical Planning,Skill,NA,NA,Pirates Bay,Unplayable. Draw 2 cards when discarded by other cards or relics.,Draw a card. Draw 2 cards when discarded by other cards or relics.
Salvage,Skill,1 ammo,1 ammo,Pirates Bay,"Draw 2 cards, then discard a card from your hand.","Draw 3 cards, then discard a card from your hand."
Anger,Skill,-3 health,-3 health,Pirates Bay,Lose 3 HP and apply Rage x3.,Lose 3 HP and apply Rage x4.
Beg,Skill,1 ammo,1 ammo,Pirates Bay,"Draw a card, then draw another card if your HP is below 50%.","Draw a card, then draw another 2 cards if your HP is below 50%."
Anchor,Skill,NA,NA,Pirates Bay,Grabs an enemy towards you and reduces its attack damage by 1. Removed.,Grabs an enemy towards you and reduces its attack damage by 2. Removed.
Brawn,Skill,1 ammo,1 ammo,Pirates Bay,Applies Rage x3.,Applies Rage x4.
Bananas,Skill,1 ammo,1 ammo,Pirates Bay,Heal 5. Removed.,Heal 8. Removed.
Rip Wound,Skill,1 ammo,1 ammo,Pirates Bay,Deals damage equal to 3x target's Injury.,Deals damage equal to 5x target's Injury.
Thorny Vine,Skill,1 ammo,1 ammo,Pirates Bay,Ranged attacks apply Injury x3 this turn.,Ranged attacks apply Injury x4 this turn.
Aim,Skill,1 ammo,NA,Pirates Bay,Attacks will always hit this turn.,Attacks will always hit this turn.
Melt Shield,Skill,1 ammo,NA,Pirates Bay,Target loses all armor.,Target loses all armor.
Book of Tactics,Skill,NA,NA,Pirates Bay,Adds a random skill card to your hand. Removed.,Adds a random upgraded skill card to your hand. Removed.
Pincer,Skill,1 ammo,1 ammo,Pirates Bay,Discard a card from your hand and applies Injury x6.,Discard a card from your hand and applies Injury x8.
Cleansing Fire,Skill,NA,NA,Pirates Bay,Remove all Curses in hand and heal 5 per card removed this way.,Remove all Curses in hand and heal 8 per card removed this way.
Swordsmanship,Skill,3 ammo,2 ammo,Pirates Bay,All melee attacks will deal critical hits this turn.,All melee attacks will deal critical hits this turn.
Waste Not,Skill,NA,NA,Pirates Bay,Remove all Curses in hand and deal 10 damage per card removed this way.,Remove all Curses in hand and deal 15 damage per card removed this way.
Inspire,Skill,1 ammo,1 ammo,Pirates Bay,Next attack card gains 50% Lifesteal. Removed.,Next attack card gains 100% Lifesteal. Removed.
Good News,Skill,1 ammo,NA,Pirates Bay,Draw 2 cards for each enemy that is Injured.,Draw 2 cards for each enemy that is Injured.
Trade,Skill,NA,NA,Pirates Bay,Transforms a card into a random attack card. Removed.,Transforms a card into a random upgraded attack card. Removed.
Sharpen,Skill,2 ammo,1 ammo,Pirates Bay,All attack cards gain Penetration this battle. Removed.,All attack cards gain Penetration this battle. Removed.
Collect Weapon,Skill,X ammo,X ammo,Pirates Bay,Lose all ammo and add X random melee cards to your hand. Removed.,Lose all ammo and add X+1 upgraded random melee cards to your hand. Removed.
Dice Trick,Skill,NA,NA,Pirates Bay,Transform all cards in hand.,Transform all cards in hand.
Procure,Skill,NA,NA,Pirates Bay,Adds a random melee card to your hand. Removed.,Adds a random upgraded melee card to your hand. Removed.
On Guard,Skill,NA,NA,Pirates Bay,Adds a random ranged card to your hand. Removed.,Adds a random upgraded ranged card to your hand. Removed.
Mirror Image,Skill,1 ammo,NA,Pirates Bay,Copy a card in hand.,Copy a card in hand.
Tranquility,Skill,1 ammo,1 ammo,Pirates Bay,Applies Immunity x4. Removed.,Applies Immunity x4.
Full Upgrade,Skill,1 ammo,NA,Pirates Bay,Upgrades all cards in hand.,Upgrades all cards in hand.
Maelstrom,Skill,2 ammo,2 ammo,Pirates Bay,Deals 10 damage to all enemies and heal 5 per enemy killed this way.,Deals 14 damage to all enemies and heal 8 per enemy killed this way.
Total Defense,Skill,X ammo,X ammo,Pirates Bay,Lose all ammo and gain 6 x X armor.,Lose all ammo and gain 9 x X armor.
Gang of Sharks,Skill,2 ammo,2 ammo,Pirates Bay,Deals 10 damage to all enemies and heal 3 per enemy damaged this way.,Deals 12 damage to all enemies and heal 5 per enemy damaged this way.
Focus,Skill,NA,NA,Pirates Bay,Choose a skill card from your draw pile and add it to your hand. Removed.,Choose a skill card from your draw pile and add it to your hand.
Excavate,Skill,1 ammo,1 ammo,Pirates Bay,Choose a card from your discard pile and add it to your hand. Removed.,Choose a card from your discard pile and add it to your hand.
Draw Arms,Skill,NA,NA,Pirates Bay,Draw a ranged card from draw pile.,Draw 2 ranged cards from draw pile.
Bookmark,Skill,NA,NA,Pirates Bay,Draw a skill card from draw pile.,Draw 2 skill cards from draw pile.
Payment in Blood,Skill,-3 health,-1 health,Pirates Bay,"Lose 3 HP, draw a card, and return this to your hand. +1 HP loss from this card this turn.","Lose 1 HP, draw a card, and return this to your hand. +1 HP loss from this card this turn."
Raise Shield,Skill,1 ammo,1 ammo,Pirates Bay,"If enemy attempts to attack this turn, gain 8 armor.","If enemy attempts to attack this turn, gain 12 armor."
Predict,Skill,1 ammo,NA,Pirates Bay,"If enemy attempts to attack this turn, gain Dodge x2.","If enemy attempts to attack this turn, gain Dodge x2."
Good Rest,Skill,1 ammo,1 ammo,Pirates Bay,Discard your hand and heal 3 for each card discarded this way. Removed.,Discard your hand and heal 5 for each card discarded this way. Removed.
Block,Skill,NA,NA,Pirates Bay,Draw a card and gain 4 armor if it is an attack card.,Draw a card and gain 7 armor if it is an attack card.
Figurehead,Skill,3 ammo,3 ammo,Pirates Bay,-1 ammo cost to all cards this turn. Removed.,-1 ammo cost to all cards this turn.
Firearms Mastery,Skill,1 ammo,NA,Pirates Bay,-1 ammo cost to all ranged cards in hand this turn.,-1 ammo cost to all ranged cards in hand this turn.
Ammo Maker,Skill,2 ammo,1 ammo,Pirates Bay,All ranged cards in hand cost 0 ammo this turn.,All ranged cards in hand cost 0 ammo this turn.
Forge,Skill,2 ammo,1 ammo,Pirates Bay,Upgrades all melee cards in your deck. Removed.,Upgrades all melee cards in your deck. Removed.
No Escape,Skill,2 ammo,1 ammo,Pirates Bay,Applies Mark x1.,Applies Mark x1.
Heavy Armor,Skill,1 ammo,1 ammo,Pirates Bay,Gain 12 armor and Mark x1.,Gain 16 armor and Mark x1.
Bloody Mark,Skill,-5 health,-5 health,Pirates Bay,Lose 5 HP and applies Mark x1. Removed.,Lose 5 HP and applies Mark x1.
Rum Barrel,Skill,1 ammo,1 ammo,Pirates Bay,Gain 7 armor and Drunk x2.,Gain 10 armor and Drunk x2.
Dangerous Game,Skill,NA,NA,Pirates Bay,Skill. Chance. 75%: Gain 9 armor. 25%: Lose all armor.,Skill. Chance. 75%: Gain 13 armor. 25%: Lose all armor.
Meditation,Skill,NA,NA,Heroes,Lose all Focus and heal equal to the Focus lost this way. Removed.,Lose all Focus and heal equal to 2 times the Focus lost this way. Removed.
Resupply,Skill,NA,NA,Heroes,Can be played only when you have at least 2 Focus. Lose 2 Focus and reload 2.,Can be played only when you have at least 2 Focus. Lose 2 Focus and reload 2. Draw 1 card.
Offensive Stance,Skill,1 ammo,NA,Heroes,Next attack will be a critical hit. Status becomes Dueling.,Next attack will be a critical hit. Status becomes Dueling.
Masque,Skill,1 ammo,1 ammo,Heroes,Gain 6 armor. Status becomes Disguised.,Gain 9 armor. Status becomes Disguised.
Impromptu,Skill,NA,NA,Heroes,Reload 1. Status becomes Performing.,Reload 2. Status becomes Performing.
Jack of Trades,Skill,1 ammo,1 ammo,Heroes,Effect depends on your status. Dueling: Deals 10 damage. Disguised: Draw 1. Performing: Upgrade 1 card in hand.,Effect depends on your status. Dueling: Deals 15 damage. Disguised: Draw 2. Performing: Upgrade all cards in hand.
Toss,Skill,NA,NA,Heroes,Chance. 50% reload 2 and get 1 Lucky. 50% get 1 Unlucky.,Chance. 50% reload 3 and get 1 Lucky. 50% reload 1 and get 1 Unlucky.
Good Luck,Skill,1 ammo,NA,Heroes,"Draw 1. If you have at least 5 Lucky, draw 2 more. Lose all the Lucky.","Draw 1. If you have at least 5 Lucky, draw 2 more. Lose all the Lucky."
Not So Bad,Skill,NA,NA,Heroes,"Heal 3 for each Unlucky and lose all Unlucky. If you lost at least 5 Unlucky, become Heroic this turn.","Heal 4 for each Unlucky and lose all Unlucky. If you lost at least 5 Unlucky, become Heroic this turn."
Talisman,Skill,1 ammo,1 ammo,Heroes,"Get 4-9 armor, fixed when add to hand.","Get 6-12 armor, fixed when add to hand."
Judgement,Skill,1 ammo,1 ammo,Heroes,"Deals 7 damage. If the enemy intends to attack, apply 1 Weakened. If enemy intends to gain armor, apply 1 Fragile.","Deals 9 damage. If the enemy intends to attack, apply 2 Weakened. If enemy intends to gain armor, apply 2 Fragile."
The Wheel of Fortune,Skill,1 ammo,1 ammo,Heroes,"Deals 3 damage to a random enemy 4 times at the start of your next turn, plus 1 additional time for each Tarot charge used. Takes effect immediately if The Fool is in your hand.","Deals 5 damage to a random enemy 4 times at the start of your next turn, plus 1 additional time for each Tarot charge used. Takes effect immediately if The Fool is in your hand."
The Hermit,Skill,NA,NA,Heroes,"Reload 1, then reload 1 at the start of your next turn. Takes effect immediately if The Fool is in your hand.","Reload 1, then reload 2 at the start of your next turn. Takes effect immediately if The Fool is in your hand."
Temperance,Skill,NA,NA,Heroes,"Until the start of your next turn, reload 1 whenever you are attacked.","Reload 1. Until the start of your next turn, reload 1 whenever you are attacked."
The Hanged Man,Skill,1 ammo,1 ammo,Heroes,Gain 4 armor per enemy that intends to attack.,Gain 6 armor per enemy that intends to attack.
